log=/Users/legion/Downloads/2CAN35_CANBOX_WORK_2026-05-08/canbus2can35_repo/logs/live/gsusb_20260508_204254.txt
frames=1358452 duration=532.104s

count   hz      ch  id       dlc  changing_bytes  sample
   531    1.00  1   0x5A0  8    5,6             00 00 00 C0 25 27 95 02
   531    1.00  1   0x434  8    -               01 00 00 00 00 00 00 00
   530    1.00  0   0x167  8    -               00 00 00 00 07 C0 00 00
   530    1.00  0   0x130  8    -               00 FF FF 00 00 00 00 00
   530    1.00  1   0x044  8    -               82 FF FF 7E FF 03 00 08
   530    1.00  1   0x435  8    -               7D 00 00 00 00 00 00 00
   529    0.99  0   0x134  8    -               03 00 00 01 00 00 10 00
   529    0.99  1   0x5B0  4    -               AC 81 12 00
   529    0.99  1   0x5BE  8    -               04 00 00 FF 00 00 00 00
   529    0.99  1   0x5D4  8    -               00 00 00 00 00 00 00 00
   528    0.99  1   0x5D3  8    -               0F 00 00 00 00 00 00 00
   265    0.50  1   0x57F  8    -               FF 00 00 FF 00 00 00 02
