log=/Users/legion/Downloads/2CAN35_CANBOX_WORK_2026-05-08/canbus2can35_repo/logs/session_20260507/full_gsusb_20260507_132119.txt
frames=5879501 duration=3309.873s

count   hz      ch  id       dlc  changing_bytes  sample
  2916    0.88  1   0x043  8    0,1,2,3,4,7     00 00 00 04 03 00 00 00
  2643    0.80  1   0x07F  8    -               00 00 00 00 00 00 00 00
  2531    0.76  1   0x5C0  8    -               00 00 00 00 00 00 00 00
  2494    0.75  0   0x131  8    0,2,4,6         00 00 FF 00 00 00 FF 00
  2464    0.74  0   0x167  8    3,4,5           00 00 00 00 07 C0 00 00
  2422    0.73  0   0x130  8    1,2             00 FF FF 00 00 00 00 00
  2388    0.72  1   0x5BE  8    0,3             04 00 00 FF 00 00 00 00
  2382    0.72  0   0x5D7  8    0,1,5,6,7       04 30 00 00 00 12 80 B4
  2379    0.72  0   0x134  8    0,3,6           03 00 00 02 00 00 10 00
  2375    0.72  1   0x5D4  8    0               00 00 00 00 00 00 00 00
  2374    0.72  1   0x5B0  4    0,1,2           B4 80 12 00
  2372    0.72  1   0x042  8    0,2             00 FF 00 FF 00 00 00 00
  2369    0.72  1   0x5D3  8    -               0F 00 00 00 00 00 00 00
  2277    0.69  1   0x5A0  8    3,4,5,6,7       00 00 00 C0 20 27 95 02
  2260    0.68  1   0x044  8    -               82 FF FF 73 FF 03 00 08
  2221    0.67  1   0x435  8    -               73 00 00 00 00 00 00 00
  2219    0.67  1   0x434  8    0               00 00 00 00 00 00 00 00
  1238    0.37  1   0x57F  8    0,3,7           FF 00 00 FF 00 00 00 07
   206    0.06  0   0x040  8    3               00 00 00 00 00 00 00 00
    16    0.00  1   0x222  8    -               F8 FF 00 00 00 80 FF 00
    13    0.00  0   0x01D  8    -               61 E9 00 00 00 00 00 00
    12    0.00  1   0x7E8  8    0,1,2,3,4,5,6,7  10 14 62 F1 90 55 35 59
     8    0.00  1   0x7E0  8    0,1,2,3         03 22 F1 90 AA AA AA AA
     1    0.00  1   0x223  8    -               FF FF FF FF F8 FF 00 00
     1    0.00  1   0x224  8    -               F8 FF 00 FC FF 3F 00 00
     1    0.00  1   0x225  8    -               F8 FF 00 00 E0 F3 1F 00
     1    0.00  1   0x53A  8    -               00 00 00 00 00 00 00 00
     1    0.00  1   0x554  8    -               00 00 00 00 00 00 00 00
     1    0.00  1   0x575  8    -               0F FF 0F FF 0F 7F 0F FF
