category,function,direction,dbc_bus,dbc_id_hex,dbc_name,dbc_signals,log_marker,observed_channel,observed_bitrate,observed_id_hex,observed_dlc,observed_signal_or_byte,off_value,on_value,confidence,status,implementation_type,implementation_note
swrc,seek_up_button,car_to_adapter,C-CAN,0x523,GW_SWRC_PE,C_SeekUpSW,swrc_seek_up,,,,,,,,0.0,dbc_candidate,uart_bridge,
swrc,volume_down_button,car_to_adapter,C-CAN,0x523,GW_SWRC_PE,C_VolDnSW,swrc_volume_down,,,,,,,,0.0,dbc_candidate,uart_bridge,
swrc,volume_up_button,car_to_adapter,C-CAN,0x523,GW_SWRC_PE,C_VolUpSW,swrc_volume_up,,,,,,,,0.0,dbc_candidate,uart_bridge,
swrc,phone_answer_button,car_to_adapter,C-CAN,0x523,GW_SWRC_PE,C_BTPhoneCallSW,swrc_phone_answer,,,,,,,,0.0,dbc_candidate,uart_bridge,
swrc,phone_hangup_button,car_to_adapter,C-CAN,0x523,GW_SWRC_PE,C_BTPhoneHangUpSW,swrc_phone_hangup,,,,,,,,0.0,dbc_candidate,uart_bridge,
swrc,voice_button,car_to_adapter,C-CAN,0x523,GW_SWRC_PE,C_SdsSW,swrc_voice,,,,,,,,0.0,dbc_candidate,uart_bridge,
media,hu_source_status,adapter_to_car,M-CAN,0x114,HU_CLU_PE_01,"HU_OpState; HU_Navi_On_Off; HU_Track_Number; HU_Frequency",source_state_matrix,,,,,,,,0.2,seen_in_log,usb_to_can,
media,hu_nav_status,adapter_to_car,M-CAN,0x197,HU_CLU_PE_05,"HU_MuteStatus; HU_VolumeStatus; HU_NaviStatus; HU_Navigation_On_Off",source_state_matrix,,,,,,,,0.2,seen_in_log,usb_to_can,
media,fm_station_text,adapter_to_car,M-CAN,0x4E8,TP_HU_FM_CLU,Byte0_TCP_and_Data,source_fm_text_16chars,,,,,,,,0.0,dbc_candidate,usb_to_can,
media,usb_media_text,adapter_to_car,M-CAN,0x490,TP_HU_USB_CLU,Byte0_TCP_and_Data,source_usb_spam_visible,,,,,,,,0.2,seen_in_log,filter_only,main candidate for Music USB spam
media,generic_multimedia_text,adapter_to_car,M-CAN,0x4E6,TP_HU_MLT_CLU,Byte0_TCP_and_Data,source_media_text,,,,,,,,0.2,seen_in_log,usb_to_can,
media,media_player_text,adapter_to_car,M-CAN,0x4EA,TP_HU_MP_CLU,Byte0_TCP_and_Data,source_media_player_text,,,,,,,,0.0,dbc_candidate,usb_to_can,
media,bt_ibox_text,adapter_to_car,M-CAN,0x4EE,TP_HU_IBOX_CLU,Byte0_TCP_and_Data,source_bt_music,,,,,,,,0.0,dbc_candidate,usb_to_can,
