mode3_sha256,mode3_source,output_stlink64k,output_stlink64k_sha256,output_update,output_update_sha256,output_update_size,report,roundtrip_ok,uid,version
,,,,/Users/legion/Downloads/2CAN35_04350004_CanLog_USBLocalMode3_CleanJump_UARTOn_SkipMediaFallbackStates_update.bin,93e197f3e9c1839daa52925cacbe70267552288e5fba2f908941b455946b84c0,32176,firmware/canlog/2can35_04350004_canlog_v4_final_mode3_mediafix_usb.report.json,,37 FF DA 05 42 47 30 38 59 41 22 43,04 35 00 04
,,,,/Users/legion/Downloads/2CAN35_04350004_CanLog_v4_Mode3_OriginalTBB_NoFallback_USB.bin,6fc42aa40c26e7009bd327aff1637d56c5707616a6a51de7483e43bf125fcea8,32176,firmware/canlog/2can35_04350004_canlog_v4_mode3_original_tbb_no_fallback_usb.report.json,,37 FF DA 05 42 47 30 38 59 41 22 43,04 35 00 04
,,,,/Users/legion/Downloads/2CAN35_04350004_CanLog_v4_NoAutoMedia_USB.bin,339a35e3c46ce7b906bb05046b2a97cc27ebe41edb98a74e46518d8d780864f0,32176,firmware/canlog/2can35_04350004_canlog_v4_no_auto_media_usb.report.json,,37 FF DA 05 42 47 30 38 59 41 22 43,04 35 00 04
,,/Users/legion/Downloads/2CAN35_04350006_CanLog_v4_Mode3_NoCmd51Patch_STLINK64K.bin,8241b2edbad800b8e51dc2ffc4195a65060a221b147c3a9b52ddc50e42b50cda,/Users/legion/Downloads/2CAN35_04350006_CanLog_v4_Mode3_NoCmd51Patch_USB.bin,501f96d2037ebb8ddcfac07b4a30cb42826b8f32bd1e2a6b7d7e1458e11e9e5a,32176,firmware/canlog/2can35_04350006_canlog_v4_mode3_no_cmd51_patch_usb.bin.report.json,,37 FF DA 05 42 47 30 38 59 41 22 43,04 35 00 06
,,/Users/legion/Downloads/2CAN35_04350006_CanLog_v4_Mode3_PreserveBeeps_STLINK64K.bin,19db945e6d69259f683d08c2fb7f878a672bd836d9cf9e3b975f8a26512df942,/Users/legion/Downloads/2CAN35_04350006_CanLog_v4_Mode3_PreserveBeeps_USB.bin,a1caf625e9070be6c9da520336751982238c314b9ac3c90140839c370f4867e6,32176,firmware/canlog/2can35_04350006_canlog_v4_mode3_preserve_beeps_usb.bin.report.json,,37 FF DA 05 42 47 30 38 59 41 22 43,04 35 00 06
,,/Users/legion/Downloads/2CAN35_04350008_CanLog_v4_Mode3_PreserveBeeps_STLINK64K.bin,c520b3aa3cee3da79c33549f8a822014b58868b8cb01a9a06b3f9cea6dee8d6a,firmware/canlog/2can35_04350008_canlog_v4_mode3_preserve_beeps_usb.bin,846d761cd1e7c26673c40bd9e8193e142b744f9ad2d7ab2a5a152b4d42b6c053,32176,firmware/canlog/2can35_04350008_canlog_v4_mode3_preserve_beeps_usb.bin.report.json,True,37 FF DA 05 42 47 30 38 59 41 22 43,04 35 00 08
e575890fc8f63334054cea17066e2445407a9982490341e50fe0bc9b0246b085,firmware/custom_c/build_mode3_lab/2can35_mode3_lab.bin,/Users/legion/Downloads/2CAN35_04350008_Mode3_CAN_UART_LAB_STLINK64K.bin,4e678cbf82982419e032969dc476dced1f3f22f9e7c3a6400ef22847dde08744,firmware/canlog/2can35_04350008_mode3_lab_can_uart_usb.bin,d17c2fb3fd8ead6d5086260e293eb3e6ddb638db4d7af8c92464fc6248f0c7c6,32176,firmware/canlog/2can35_04350008_mode3_lab_can_uart_usb.bin.report.json,True,37 FF DA 05 42 47 30 38 59 41 22 43,04 35 00 08
,,,,/Users/legion/Downloads/2CAN35_04350005_V05Mode1_CanLog_Mode23_USB.bin,dda98dcf2c4f335e89ea48998f179cd1219713962b23ce3a015ea007164a5bdc,32176,firmware/local/failed_experiments/2CAN35_04350005_V05Mode1_CanLog_Mode23_USB_FAILED_NO_USB.report.json,,37 FF DA 05 42 47 30 38 59 41 22 43,04 35 00 05
